"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"강원도 속초시청",강원도 속초시 엑스포로 72 (조양동),강원도 속초시 조양동 1544-1,생활방범,2,200,엑스포타워놀이터공원,30,2017-07,033-639-2178,38.191597,128.5830666,2018-09-06
"강원도 속초시청",강원도 속초시 엑스포로 140 (교동),강원도 속초시 교동 1025-1,생활방범,2,200,석봉도자기미술관앞공원,30,2017-07,033-639-2178,38.1967965,128.5819721,2018-09-06
"강원도 속초시청",강원도 속초시 영랑동 131-188,강원도 속초시 영랑동 131-188,생활방범,2,200,영랑해안4길32공원놀이터,30,2017-07,033-639-2178,38.2155732,128.5956676,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 산337,강원도 속초시 노학동 산337,생활방범,3,200,속초자생식물원,30,2017-07,033-639-2178,38.1968543,128.5235371,2018-09-06
"강원도 속초시청",강원도 속초시 청초호반로 296 (금호동),강원도 속초시 금호동 482-5,생활방범,1,200,속초시사회복지협의회놀이터,30,2017-07,033-639-2178,38.2013591,128.5893498,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로 3388 (교동),강원도 속초시 교동 780-274,생활방범,1,200,설악중학교뒷편놀이터,30,2017-07,033-639-2178,38.2066454,128.5769499,2018-09-06
"강원도 속초시청",강원도 속초시 사진길 24 (장사동),강원도 속초시 장사동 632-78,생활방범,3,200,룸비니어린이집사거리,30,2017-02,033-639-2178,38.2225014,128.5874601,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 65-1,강원도 속초시 노학동 65-1,생활방범,2,200,도리원마을,30,2017-02,033-639-2178,38.1942084,128.5628463,2018-09-06
"강원도 속초시청",강원도 속초시 교동 800-37,강원도 속초시 교동 800-37,생활방범,2,200,킹마트앞놀이터,30,2017-02,033-639-2178,38.2016407,128.5700896,2018-09-06
"강원도 속초시청",강원도 속초시 선사로1길 40-3 (조양동),강원도 속초시 조양동 1511-1,생활방범,2,200,청봉초교앞놀이터,30,2017-02,033-639-2178,38.1879238,128.5879322,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로3337번길 6-15 (교동),강원도 속초시 교동 782-11,시설물관리,6,41,작은도서관 각 열람실,30,2017-12,033-639-3720,38.2060933,128.5717503,2018-09-06
"강원도 속초시청",강원도 속초시 영랑호반길 140 (금호동),강원도 속초시 금호동 600-7,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.2142139,128.5807107,2018-09-06
"강원도 속초시청",강원도 속초시 도문동 산151,강원도 속초시 도문동 산151,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.1779026,128.5712686,2018-09-06
"강원도 속초시청",강원도 속초시 도문동 산311,강원도 속초시 도문동 산311,재난재해,1,300,360도전방면,3,2017-11,033-639-2225,38.1709642,128.5275677,2018-09-06
"강원도 속초시청",강원도 속초시 설악동 836-9,강원도 속초시 설악동 836-9,재난재해,1,41,360도전방면,3,2017-03,033-639-2225,38.1536576,128.5564016,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 산358,강원도 속초시 노학동 산358,재난재해,1,41,360도전방면,3,2017-03,033-639-2225,38.195792,128.5152319,2018-09-06
"강원도 속초시청",강원도 속초시 설악산로 25-8 (도문동),강원도 속초시 도문동 1656,시설물관리,3,41,쌍천취수장,0,2017-05,033-639-2985,38.1616154,128.6046426,2018-09-06
"강원도 속초시청",강원도 속초시 설악산로 25-8 (도문동),강원도 속초시 도문동 1656,시설물관리,2,200,쌍천취수장,0,2017-03,033-639-2985,38.1616154,128.6046426,2018-09-06
"강원도 속초시청",강원도 속초시 청봉로 271 (설악동),강원도 속초시 설악동 산17-1,시설물관리,2,41,설악취수장,0,2017-05,033-639-2985,38.1670508,128.5144612,2018-09-06
"강원도 속초시청",강원도 속초시 청봉로 271 (설악동),강원도 속초시 설악동 산17-1,시설물관리,1,200,설악취수장,0,2017-03,033-639-2985,38.1670508,128.5144612,2018-09-06
"강원도 속초시청",강원도 속초시 울산바위길 66-43 (노학동),강원도 속초시 노학동 산1-1,시설물관리,7,41,학사평정수장,0,2017-06,033-639-2985,38.202618,128.5053935,2018-09-06
"강원도 속초시청",강원도 속초시 떡밭재로 181 (조양동),강원도 속초시 조양동 817,시설물관리,8,41,속초정수장,0,2017-05,033-639-2985,38.1792287,128.579755,2018-09-06
"강원도 속초시청",강원도 속초시 떡밭재로 181 (조양동),강원도 속초시 조양동 817,시설물관리,1,200,속초정수장,0,2017-12,033-639-2985,38.1792287,128.579755,2018-09-06
"강원도 속초시청",강원도 속초시 수복로 46 (교동),강원도 속초시 교동 979,시설물관리,4,200,평생교육문화센터,30,2017-07,033-639-2955,38.196647,128.576525,2018-09-06
"강원도 속초시청",강원도 속초시 조양동 1529,강원도 속초시 조양동 1529,기타,3,130,속초조양동유적지,30,2017-04,033-639-2958,38.1880923,128.5907954,2018-09-06
"강원도 속초시청",강원도 속초시 농공단지1길 4 (대포동),강원도 속초시 대포동 942,시설물관리,16,50,동해안젓갈콤플렉스센터,20,2017-02,033-639-2461,38.175819,128.596441,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로147번길 16 (중앙동),강원도 속초시 중앙동 471-4,시설물관리,122,41,속초관광수산시장,10,2017-11,033-639-2477,38.2044489,128.5901534,2018-09-06
"강원도 속초시청",강원도 속초시 방축길 60 (대포동),강원도 속초시 대포동 2-1,시설물관리,12,50,쓰레기매립장,30,2017-06,033-639-2577,38.175426,128.5892733,2018-09-06
"강원도 속초시청",강원도 속초시 신흥2길 16 (노학동),강원도 속초시 노학동 736-1,시설물관리,36,200,속초시립박물관,15,2017-06,033-639-2973,38.200816,128.538549,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로 183 (중앙동),강원도 속초시 중앙동 469-6,시설물관리,7,200,속초시청본관,20,2017-09,033-639-2132,38.2068286,128.5919059,2018-09-06
"강원도 속초시청",강원도 속초시 수복로 36 (교동),강원도 속초시 교동 980,시설물관리,5,130,속초시보건소,30,2017-07,033-639-2550,38.196055,128.576122,2018-09-06
"강원도 속초시청",강원도 속초시 대포동 897,강원도 속초시 대포동 898,차량방범,2,130,양양방면,30,2017-04,033-639-2136,38.161001,128.608024,2018-09-06
"강원도 속초시청",강원도 속초시 대포동 178-66,강원도 속초시 대포동 178-67,차량방범,1,500,속초방면,30,2017-08,033-639-2136,38.1615901,128.608045,2018-09-06
"강원도 속초시청",강원도 속초시 만천1길,강원도 속초시 교동 909-10,생활방범,3,300,골목길 삼방향,30,2017-04,033-639-2136,38.200531,128.576603,2018-09-06
"강원도 속초시청",강원도 속초시 교동 900,강원도 속초시 교동 901,생활방범,4,300,도로 사방향,30,2017-04,033-639-2136,38.206049,128.580316,2018-09-06
"강원도 속초시청",강원도 속초시 청대로 204번길,강원도 속초시 조양동 1499-3,생활방범,4,300,도로 사방향,30,2017-04,033-639-2136,38.189202,128.580544,2018-09-06
"강원도 속초시청",강원도 속초시 조양로,강원도 속초시 조양동 1292-14,생활방범,4,300,도로 사방향,30,2017-04,033-639-2136,38.186544,128.598699,2018-09-06
"강원도 속초시청",강원도 속초시 수복로187번길,강원도 속초시 청학동 488-1,생활방범,4,300,도로 사방향,30,2017-08,033-639-2136,38.205769,128.584975,2018-09-06
"강원도 속초시청",강원도 속초시 번영로 67번길,강원도 속초시 금호동 625-17,생활방범,4,300,골목길 삼방향,30,2017-08,033-639-2136,38.206295,128.583935,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로,강원도 속초시 장사동 619-1,생활방범,2,200,도로 양방향,30,2017-09,033-639-2136,38.224147,128.588202,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로,강원도 속초시 영랑동 149-2,생활방범,2,200,도로 양방향,30,2017-09,033-639-2136,38.214651,128.595196,2018-09-06
"강원도 속초시청",강원도 속초시 장사동 418-27,강원도 속초시 장사동 418-27,쓰레기단속,2,200,영랑호습지공원,30,2017-10,033-639-2740,38.2131548,128.5695777,2018-09-06
"강원도 속초시청",강원도 속초시 관광로 325 (노학동),강원도 속초시 노학동 943-4,쓰레기단속,1,49,쓰레기집하장,5,2017-06,033-639-2337,38.1897296,128.5412169,2018-09-06
"강원도 속초시청",강원도 속초시 대포항1길 19 (대포동),강원도 속초시 대포동 421-59,쓰레기단속,1,49,쓰레기집하장,5,2017-06,033-639-2337,38.1753643,128.6059922,2018-09-06
"강원도 속초시청",강원도 속초시 중앙동 503-93,강원도 속초시 중앙동 503-93,쓰레기단속,1,49,쓰레기집하장,5,2017-10,033-639-2337,38.2077339,128.5867384,2018-09-06
"강원도 속초시청",강원도 속초시 노리5길 16 (노학동),강원도 속초시 노학동 319-1,쓰레기단속,1,49,쓰레기집하장,5,2017-10,033-639-2337,38.1902928,128.5560295,2018-09-06
"강원도 속초시청",강원도 속초시 청학동 486-235,강원도 속초시 청학동 486-235,쓰레기단속,1,49,쓰레기집하장,5,2017-10,033-639-2337,38.202856,128.5865623,2018-09-06
"강원도 속초시청",강원도 속초시 청학동 634-32,강원도 속초시 청학동 634-32,쓰레기단속,1,49,쓰레기집하장,5,2017-10,033-639-2337,38.2036075,128.5834638,2018-09-06
"강원도 속초시청",강원도 속초시 청호로6길 14-1 (청호동),강원도 속초시 청호동 432-38,쓰레기단속,1,49,쓰레기집하장,5,2017-10,033-639-2337,38.1958099,128.5977568,2018-09-06
"강원도 속초시청",강원도 속초시 교동 636-70,강원도 속초시 교동 636-70,쓰레기단속,1,49,쓰레기집하장,5,2017-06,033-639-2337,38.2025368,128.5808246,2018-09-06
"강원도 속초시청",강원도 속초시 대포동 산1-1,강원도 속초시 대포동 산1-1,시설물관리,2,41,설악정수장,0,2017-05,033-639-2985,38.1736225,128.5933107,2018-09-06
"강원도 속초시청",강원도 속초시 교동 766-5,강원도 속초시 교동 766-5,쓰레기단속,1,49,쓰레기집하장,5,2017-06,033-639-2337,38.1987498,128.5746362,2018-09-06
"강원도 속초시청",강원도 속초시 영랑동 160-6,강원도 속초시 영랑동 160-6,쓰레기단속,1,49,쓰레기집하장,5,2017-08,033-639-2337,38.2161805,128.5917396,2018-09-06
"강원도 속초시청",강원도 속초시 조양동 1480,강원도 속초시 조양동 1480,쓰레기단속,1,49,쓰레기집하장,5,2017-08,033-639-2337,38.1866087,128.6022693,2018-09-06
"강원도 속초시청",강원도 속초시 새마을길 17 (조양동),강원도 속초시 조양동 1480-190,쓰레기단속,1,200,쓰레기집하장,5,2017-05,033-639-2337,38.1867253,128.6023798,2018-09-06
"강원도 속초시청",강원도 속초시 조양로21번길 4 (조양동),강원도 속초시 조양동 1310-7,어린이보호,3,200,리라유치원,30,2017-12,033-639-2494,38.186112,128.5983727,2018-09-06
"강원도 속초시청",강원도 속초시 조양로22번길 13 (조양동),강원도 속초시 조양동 1376-35,어린이보호,3,200,아이사랑어린이집,30,2017-12,033-639-2494,38.1875413,128.5997165,2018-09-06
"강원도 속초시청",강원도 속초시 조양로 166,강원도 속초시 조양동 1501,어린이보호,3,200,한슬어린이집,30,2017-12,033-639-2494,38.1885131,128.5813194,2018-09-06
"강원도 속초시청",강원도 속초시 도문동 산308-3,강원도 속초시 도문동 산308-3,시설물관리,3,200,목우재터널,30,2017-12,033-639-2494,38.1738147,128.5289818,2018-09-06
"강원도 속초시청",강원도 속초시 장사동 산 267-1,강원도 속초시 장사동 산 267-1,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.223893,128.585152,2018-09-06
"강원도 속초시청",강원도 속초시 장사동 631-43,강원도 속초시 장사동 631-43,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.2220901,128.589504,2018-09-06
"강원도 속초시청",강원도 속초시 금호동 488-2,강원도 속초시 금호동 488-2,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.206425,128.586139,2018-09-06
"강원도 속초시청",강원도 속초시 금호동 625-2,강원도 속초시 금호동 625-2,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.207174,128.582032,2018-09-06
"강원도 속초시청",강원도 속초시 교동 627-4,강원도 속초시 교동 627-4,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.205651,128.581721,2018-09-06
"강원도 속초시청",강원도 속초시 청학동 483-15,강원도 속초시 청학동 483-15,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.202245,128.585602,2018-09-06
"강원도 속초시청",강원도 속초시 선사로 1길,강원도 속초시 조양동  1527-5,생활방범,3,200,도로 삼방향,30,2017-09,033-639-2136,38.187354,128.592449,2018-09-06
"강원도 속초시청",강원도 속초시 조양동 1383-3,강원도 속초시 조양동 1383-4,생활방범,3,200,도로 삼방향,30,2017-09,033-639-2136,38.191616,128.598768,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로3489번길 중앙초 뒷골목,강원도 속초시 금호동 623-53,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.209351,128.582926,2018-09-06
"강원도 속초시청",강원도 속초시 동해대로3930번길 새마을 은혜식당 앞,강원도 속초시 조양동 1480,생활방범,3,200,도로 삼방향,30,2017-02,033-639-2136,38.186641,128.602809,2018-09-06
"강원도 속초시청",강원도 속초시 조양동 조양로42번길,강원도 속초시 조양동 1366-1,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.188833,128.596286,2018-09-06
"강원도 속초시청",강원도 속초시 싸리재길,강원도 속초시 노학동 1268,생활방범,3,200,도로 삼방향,30,2017-02,033-639-2136,38.187141,128.559174,2018-09-06
"강원도 속초시청",강원도 속초시 우렁길,강원도 속초시 동명동 531-2,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.208497,128.5883901,2018-09-06
"강원도 속초시청",강원도 속초시 원암학사평길 김정옥할머니,강원도 속초시 노학동 1011-55,생활방범,3,200,도로 양방향,30,2017-02,033-639-2136,38.205601,128.528578,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로,강원도 속초시 노학동 1073-104,차량방범,1,500,미시령방면,30,2017-10,033-639-2136,38.205512,128.510724,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로147번길,강원도 속초시 금호동 473-51,생활방범,3,200,도로 삼방향,30,2017-09,033-639-2136,38.204165,128.588459,2018-09-06
"강원도 속초시청",강원도 속초시 노리5길,강원도 속초시 노학동 620,생활방범,2,200,도로 양방향,30,2017-09,033-639-2136,38.190441,128.555048,2018-09-06
"강원도 속초시청",강원도 속초시 먹거리4길,강원도 속초시 교동 1002,생활방범,2,130,골목길양방향,30,2017-10,033-639-2136,38.194818,128.573076,2018-09-06
"강원도 속초시청",강원도 속초시 먹거리7길,강원도 속초시 교동 972,생활방범,3,130,골목길삼방향,30,2017-10,033-639-2136,38.194877,128.574205,2018-09-06
"강원도 속초시청",강원도 속초시 부월길(연포길),강원도 속초시 조양동 1371-9,생활방범,2,130,골목길양방향,30,2017-10,033-639-2136,38.188991,128.597242,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로205번길,강원도 속초시 동명동 452-8,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.209296,128.592202,2018-09-06
"강원도 속초시청",강원도 속초시 수복로259번길,강원도 속초시 동명동 259-3,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.210813,128.590648,2018-09-06
"강원도 속초시청",강원도 속초시 번영로23번길 이안컴퓨터,강원도 속초시 교동 636-162,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.203228,128.580303,2018-09-06
"강원도 속초시청",강원도 속초시 청초호반로(중앙로50번길),강원도 속초시 교동 664-304,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.1992901,128.582915,2018-09-06
"강원도 속초시청",강원도 속초시 먹거리4길(대게나라),강원도 속초시 교동 995,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.1959901,128.573828,2018-09-06
"강원도 속초시청",강원도 속초시 먹거리2길,강원도 속초시 교동 1009,생활방범,2,200,도로 양방향,30,2017-02,033-639-2136,38.193754,128.574349,2018-09-06
"강원도 속초시청",강원도 속초시 미시령로,강원도 속초시 노학동 1073-104,차량방범,1,500,속초방면,30,2017-02,033-639-2136,38.205427,128.510659,2018-09-06
"강원도 속초시청",강원도 속초시 해오름로,강원도 속초시 조양동 1426-3,생활방범,3,200,속초해변앞 3방향,30,2017-02,033-639-2136,38.190405,128.602283,2018-09-06
"강원도 속초시청",강원도 속초시 동해대로(장사경계),강원도 속초시 장사동 산10-2,차량방범,1,500,속초방면,30,2017-07,033-639-2136,38.2204801,128.564081,2018-09-06
"강원도 속초시청",강원도 속초시 번영로97번길,강원도 속초시 동명동 512-1,생활방범,2,200,영랑호진입 및 보광사방면,30,2017-07,033-639-2136,38.211517,128.584768,2018-09-06
"강원도 속초시청",강원도 속초시 노학동 1254,강원도 속초시 노학동 1254,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.194581,128.563984,2018-09-06
"강원도 속초시청",강원도 속초시 조양동 1511-6,강원도 속초시 조양동 1511-6,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.188133,128.588058,2018-09-06
"강원도 속초시청",강원도 속초시 대포동 542-1,강원도 속초시 대포동 542-1,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.183011,128.605699,2018-09-06
"강원도 속초시청",강원도 속초시 교동 799-163,강원도 속초시 교동 799-163,쓰레기단속,1,200,쓰레기집하장,,2017-07,033-639-2337,38.201745,128.569111,2018-09-06
"강원도 속초시청",강원도 속초시 중앙로 183 (중앙동),강원도 속초시 중앙동 469-6,시설물관리,5,130,속초시청내,30,2017-08,033-639-2132,38.206994,128.591945,2018-09-06
